segment_id,start_node,end_node,start_lat,start_lon,end_lat,end_lon,midpoint_lat,midpoint_lon,length_m,travel_time_s,road_type
S379996,12128921371,12128921370,12.9656192,77.5866696,12.965494,77.5868123,12.9655566,77.58674095,20.807,1.9,secondary
S379997,12128921371,249087938,12.9656192,77.5866696,12.9659765,77.5867815,12.965811000524258,77.58667789463713,43.25,3.3,primary
S379998,12128921373,287793996,12.963329,77.5892199,12.9630163,77.589523,12.963172638081742,77.58937143769533,47.830000000000005,3.6,primary
S379999,12128921387,12135138835,12.9615214,77.5841171,12.9615133,77.5840398,12.96151735,77.58407844999999,8.425,1.1,residential
S380000,12128921387,1568922475,12.9615214,77.5841171,12.9631156,77.5849423,12.96230654538509,77.5845536408341,198.713,15.0,primary
S380001,12128921387,10755200623,12.9615214,77.5841171,12.9613283,77.5858303,12.9614237447624,77.58497357248405,186.884,16.7,secondary
S380002,12128921388,12128921387,12.9614743,77.5840912,12.9615214,77.5841171,12.96149785,77.58410415,5.942,0.4,primary
S380003,12128921388,12135138835,12.9614743,77.5840912,12.9615133,77.5840398,12.9614938,77.58406550000001,7.059,0.9,residential
S380004,12128943145,12128943147,12.967038,77.58743,12.9674754,77.5873668,12.967256681346496,77.5873982708537,49.117,3.7,primary
S380005,12128943147,665062617,12.9674754,77.5873668,12.967942,77.5870988,12.967707631318678,77.58723057436953,59.50999999999999,4.5,primary
S380006,12128943147,287793735,12.9674754,77.5873668,12.9678226,77.5876058,12.967708105859025,77.58741196426203,52.539,4.0,primary
S380037,12134062486,11888422024,12.9730658,77.5810143,12.9731867,77.5811445,12.97312625,77.5810794,19.488,1.7,secondary
S380038,12134062486,429001254,12.9730658,77.5810143,12.9738042,77.5793892,12.973434994097197,77.58020174731641,194.292,14.7,primary
S380039,12134082419,11888422024,12.9732673,77.5812576,12.9731867,77.5811445,12.973219448656296,77.58120743882381,15.516000000000002,1.4,secondary
S380040,12134082419,249081404,12.9732673,77.5812576,12.9730054,77.5816997,12.97313637292735,77.5814786626192,56.067,8.4,unclassified
S380041,12134088495,12134088496,12.9775923,77.5804614,12.9775462,77.5805336,12.97756925,77.5804975,9.353,1.1,tertiary_link
S380042,12134088495,429001232,12.9775923,77.5804614,12.9788978,77.5813476,12.978245054428976,77.58090449347557,174.051,15.9,tertiary
S380043,12134088496,12134088495,12.9775462,77.5805336,12.9775923,77.5804614,12.97756925,77.5804975,9.353,1.1,tertiary_link
S380044,12134088496,254664211,12.9775462,77.5805336,12.9767572,77.5799536,12.977137749859969,77.58025827624223,108.567,9.9,tertiary
S380049,12135138835,12128921388,12.9615133,77.5840398,12.9614743,77.5840912,12.9614938,77.58406550000001,7.059,0.9,residential
S380050,12135138835,12128921387,12.9615133,77.5840398,12.9615214,77.5841171,12.96151735,77.58407844999999,8.425,1.1,residential
S380051,12135138835,429230950,12.9615133,77.5840398,12.9615191,77.5836031,12.961516178418774,77.58382144975478,47.327,6.0,residential
S380077,12135211599,9996923764,12.9896577,77.5928227,12.988727,77.5920379,12.989178123864471,77.59244964132495,134.407,12.3,tertiary
S380078,12135211599,461789818,12.9896577,77.5928227,12.9901382,77.5930434,12.989899727341738,77.59292903975536,58.556,7.0,primary
S380198,12141911042,12141911043,12.9758162,77.5874399,12.9757733,77.5874209,12.975794331295855,77.58743177618443,5.242,0.4,primary
S380199,12141911043,10978687896,12.9757733,77.5874209,12.975722,77.5875959,12.975750186022951,77.58750984087942,19.962000000000003,3.0,unclassified
S380200,12141911043,12141911045,12.9757733,77.5874209,12.9756839,77.5871569,12.975678265186914,77.58730655399228,33.452,2.5,primary
S380201,12141911045,663311696,12.9756839,77.5871569,12.9751096,77.5869069,12.975401003255454,77.5870224262633,69.42999999999999,5.3,primary
S380202,12141911045,10978687879,12.9756839,77.5871569,12.9757636,77.5870654,12.97571718293926,77.5871053497004,13.45,1.0,primary
S380203,12141911057,10980051591,12.9760414,77.5871427,12.9760027,77.5873926,12.97606312476934,77.58727387991033,29.40000000000001,2.2,primary
S380204,12141911062,597084145,12.9759263,77.5870487,12.9777382,77.5845712,12.9768622840436,77.58583332676851,336.02599999999995,25.4,primary
S380205,12141911062,12141911057,12.9759263,77.5870487,12.9760414,77.5871427,12.975992535185917,77.58708477031057,16.79,1.3,primary
S380231,12143506752,303923495,12.9845938,77.5883321,12.9844864,77.5883625,12.9845401,77.58834730000001,12.388,1.1,tertiary
S380232,12143506752,12143506753,12.9845938,77.5883321,12.9846608,77.5883841,12.9846273,77.5883581,9.341,0.8,secondary
S380233,12143506753,1436067886,12.9846608,77.5883841,12.9846875,77.5883235,12.98467415,77.5883538,7.206,0.5,primary
S380234,12143506755,12143506752,12.9845411,77.5882598,12.9845938,77.5883321,12.98456745,77.58829595,9.783,0.9,secondary
S380303,12143977739,12769552347,12.9633152,77.5988315,12.9634722,77.5984912,12.9633937,77.59866135,40.799,5.0,living_street
S380304,12143977739,12769552346,12.9633152,77.5988315,12.9638106,77.5985612,12.963632430308133,77.59888311659522,81.616,10.0,living_street
S380305,12143977739,10197618934,12.9633152,77.5988315,12.9626962,77.5985088,12.963004332200098,77.59867278524935,77.207,9.8,residential
S380306,12143977741,12769552347,12.9637004,77.5985635,12.9634722,77.5984912,12.963577953922968,77.59850402455407,30.065,3.7,living_street
S380307,12143977742,12769552347,12.9632954,77.5984053,12.9634722,77.5984912,12.9633838,77.59844824999999,21.752,2.7,living_street
S380379,12144693926,10011171738,12.9747184,77.6200462,12.9747832,77.6195787,12.974751251773784,77.61981252850498,51.17099999999999,4.7,tertiary
S380471,12147813608,665045355,12.981969,77.5944261,12.9829367,77.5922923,12.982331852649647,77.5932666136392,264.671,31.8,primary
S380472,12147813613,2382044454,12.9816383,77.5943719,12.9819024,77.5946416,12.981772205676895,77.59450501157355,41.446000000000005,3.1,primary
S380473,12147813613,12147813608,12.9816383,77.5943719,12.981969,77.5944261,12.981802443481428,77.59445421433036,41.98,4.6,primary_link
S380474,12147929616,2104325977,12.9842964,77.58194,12.9847118,77.5820717,12.984497206384903,77.58202788945474,48.624,4.4,secondary
S380475,12147929616,12147929622,12.9842964,77.58194,12.9849112,77.5818049,12.98461447586527,77.58192493682431,71.188,12.8,secondary_link
S380476,12147929622,9214185023,12.9849112,77.5818049,12.9853487,77.581264,12.985128319014803,77.58153311507797,76.17099999999999,13.7,secondary_link
S380477,12147929641,461789657,12.9846221,77.5856895,12.9843002,77.5874943,12.98448633042126,77.58660012967519,199.726,25.4,residential
S380478,12148059333,11676514106,12.9884275,77.5931394,12.9869268,77.5926025,12.987706584797618,77.59319336502891,215.317,27.4,residential
S380479,12148059333,3667423530,12.9884275,77.5931394,12.9864904,77.5915748,12.987444512916136,77.59235258180179,277.23,35.3,residential
S380551,12151502520,12151502523,12.9780487,77.6189365,12.9776464,77.6191513,12.97784755,77.61904390000001,50.426,4.5,secondary
S380552,12151502520,26529606,12.9780487,77.6189365,12.9780194,77.6188785,12.978034050000002,77.6189075,7.079,0.9,residential
S380553,12151502521,3709730353,12.9774266,77.619269,12.9774043,77.619221,12.97741545,77.619245,5.762,0.7,residential
S380554,12151502521,3304173431,12.9774266,77.619269,12.9760082,77.620239,12.976651786631852,77.61969319057155,194.857,17.4,secondary
S380555,12151502522,26529606,12.9776212,77.6191002,12.9780194,77.6188785,12.9778203,77.61898934999999,50.375,4.5,secondary
S380556,12151502522,12151502523,12.9776212,77.6191002,12.9776464,77.6191513,12.9776338,77.61912575,6.206,1.1,secondary_link
S380557,12151502523,12151502522,12.9776464,77.6191513,12.9776212,77.6191002,12.9776338,77.61912575,6.206,1.1,secondary_link
S380558,12151502523,12151502521,12.9776464,77.6191513,12.9774266,77.619269,12.977536440968988,77.61921004051631,27.568,2.5,secondary
S381652,12183397673,10839126252,12.963158,77.5944316,12.9635667,77.5944499,12.96336235,77.59444074999999,45.489,5.8,residential
S381653,12183397673,10839120180,12.963158,77.5944316,12.962569,77.5944166,12.9628635,77.5944241,65.514,8.3,residential
S381654,12183397673,12183397674,12.963158,77.5944316,12.9631423,77.5946192,12.96315015,77.5945254,20.403,2.6,residential
S381655,12183397674,12183397673,12.9631423,77.5946192,12.963158,77.5944316,12.96315015,77.5945254,20.403,2.6,residential
S381896,12190248444,663941113,12.9760352,77.5945108,12.9761756,77.5946381,12.97604764118573,77.59463785925509,31.133,4.5,unclassified
S381897,12190248444,456209067,12.9760352,77.5945108,12.9752121,77.5936983,12.975621574678836,77.59410665234539,126.996,18.3,unclassified
S381898,12190250154,12896223107,12.9749635,77.590462,12.9750138,77.5904058,12.97498865,77.5904339,8.268,1.2,unclassified
S383396,12429482557,12147929616,12.9842202,77.5819069,12.9842964,77.58194,12.9842583,77.58192345,9.201,0.8,secondary
S383397,12429482557,2122621689,12.9842202,77.5819069,12.9844431,77.5824003,12.984328529496391,77.58215525962436,58.983,5.3,secondary
S383398,12429489160,7676373070,12.9766386,77.6017915,12.9766374,77.6018644,12.976638,77.60182795,7.9,0.9,secondary
S383399,12429489160,6182615270,12.9766386,77.6017915,12.9779372,77.6020689,12.977289495487444,77.60191374892626,147.935,13.2,secondary
S383446,12433045764,663596611,12.9841563,77.5970901,12.9836404,77.5971267,12.983899562415813,77.59712086463692,57.636,4.4,primary
S383447,12433045764,10121033916,12.9841563,77.5970901,12.9831919,77.5958611,12.983679391867486,77.5964715077802,171.015,12.9,primary
S383568,12452722458,13459544127,12.9726473,77.6202241,12.9725836,77.6197084,12.97267394390976,77.61995736489041,58.489,4.4,primary
S383569,12452723320,13459544127,12.9726085,77.6198145,12.9725836,77.6197084,12.97259605,77.61976145,11.825,1.4,primary
S383570,12452723320,1530703051,12.9726085,77.6198145,12.9723072,77.6195759,12.972484657522216,77.61966298086094,43.691,5.2,primary_link
S383593,12460840938,9870839712,12.9684273,77.6143093,12.9683908,77.613855,12.968409024483725,77.6140821520579,49.394,4.4,primary
S383594,12460840938,4043198059,12.9684273,77.6143093,12.9670589,77.6140108,12.967720606256728,77.61430426938972,160.562,14.7,tertiary
S383595,12460840938,4044071331,12.9684273,77.6143093,12.9654186,77.6177082,12.967003560220512,77.61609191495113,500.166,37.8,primary
S383596,12460840939,12460840938,12.9684789,77.6142406,12.9684273,77.6143093,12.9684531,77.61427495000001,9.399,0.7,primary
S383597,12460840939,306834667,12.9684789,77.6142406,12.9691223,77.6153598,12.968791012092884,77.61480529353989,140.906,12.7,secondary
S383598,12460840964,3404809687,12.969689,77.6122774,12.9696387,77.6121221,12.969677697498128,77.61219493694634,18.099,2.3,residential
S383600,12460929618,60952254,12.9684343,77.6060119,12.9709016,77.6048071,12.969668841442331,77.60541117393637,303.851,27.2,secondary
S383601,12460929618,9933265930,12.9684343,77.6060119,12.9684742,77.6062418,12.9684527911241,77.60612709597122,25.308,4.6,secondary_link
S383602,12460929648,12460929618,12.9682645,77.6060994,12.9684343,77.6060119,12.9683494,77.60605565,21.128,1.3,secondary
S383603,12460929652,13266174883,12.9682994,77.6062235,12.9681464,77.6062757,12.9682229,77.6062496,17.929,1.1,secondary
S383604,12460929652,12460929648,12.9682994,77.6062235,12.9682645,77.6060994,12.96828195,77.60616145,13.996,1.8,residential
S383605,12462395646,12462395647,12.9777042,77.5907834,12.9778101,77.5907101,12.97775715,77.59074675,14.204,2.1,unclassified
S383606,12462395646,663311721,12.9777042,77.5907834,12.9762644,77.5880916,12.976939694009609,77.58946249318389,333.231,25.2,primary
S383607,12462395647,10121296057,12.9778101,77.5907101,12.9778457,77.5907355,12.9778279,77.5907228,4.821,0.4,primary
S383608,12462395647,10121296057,12.9778101,77.5907101,12.9778457,77.5907355,12.977908419063416,77.5906601841678,24.288,3.6,unclassified
S383618,12462507904,11919132703,12.9666654,77.6087634,12.966655,77.6087179,12.9666602,77.60874065,5.064,0.6,primary
S383619,12462507904,3268824710,12.9666654,77.6087634,12.9650689,77.6099455,12.965863766606404,77.6093492974329,218.991,20.0,tertiary
S383620,12462507949,6017833824,12.9671397,77.6112318,12.967286,77.611217,12.96721285,77.6112244,16.347,2.0,secondary
S383621,12462507949,4903183637,12.9671397,77.6112318,12.9670911,77.6109679,12.967116299304625,77.61109968054598,29.103,3.5,primary
S383622,12462507980,12462507981,12.9676183,77.6108558,12.9672108,77.6108057,12.96741455,77.61083074999999,45.636,5.8,residential
S383623,12462507980,1454651956,12.9676183,77.6108558,12.9676273,77.6110549,12.967617589546728,77.6109559159607,21.704,2.8,residential
S383624,12462507980,442972797,12.9676183,77.6108558,12.9677202,77.6103744,12.96765040126238,77.61061199278342,53.757000000000005,6.8,residential
S383625,12462507981,12462507980,12.9672108,77.6108057,12.9676183,77.6108558,12.96741455,77.61083074999999,45.636,5.8,residential
S383626,12462507981,7088793663,12.9672108,77.6108057,12.9675236,77.6094064,12.967354283681678,77.61010263752753,155.775,19.8,residential
S383627,12462507981,442972802,12.9672108,77.6108057,12.9670651,77.6108379,12.967140925996071,77.61083452161402,16.847,2.1,residential
S383646,12466406368,12466406369,12.9610446,77.5883142,12.9609906,77.5882631,12.9610176,77.58828865000001,8.168,0.7,secondary
S383647,12466406369,1859880689,12.9609906,77.5882631,12.9605283,77.5898304,12.960774477024277,77.58904959160891,177.829,22.6,residential
S383648,12466406369,1859880688,12.9609906,77.5882631,12.9604704,77.5878272,12.960735401588243,77.5880401206753,74.81099999999999,6.7,secondary
S383649,12466406369,459598610,12.9609906,77.5882631,12.9610995,77.5875935,12.96105040563712,77.58792917142529,73.58,6.6,secondary
S383754,12484332871,9642156101,12.9845305,77.5972423,12.9845003,77.5972273,12.9845154,77.5972348,3.731,0.3,primary
S383755,12484332871,1523537403,12.9845305,77.5972423,12.9845847,77.5970634,12.984544350068145,77.59714786485327,20.747,2.3,primary_link
S383818,12492736860,12495347529,12.9746016,77.6177484,12.975266,77.6178245,12.97493453870107,77.61778233665098,74.399,9.5,residential
S383819,12495347529,11078072612,12.975266,77.6178245,12.9750937,77.6183812,12.975179285613068,77.61810267551037,63.292,5.8,tertiary
S383820,12495347529,1446114498,12.975266,77.6178245,12.9754018,77.6174186,12.975331677282304,77.61762079312659,46.509,4.2,tertiary
S383821,12495347529,12492736860,12.975266,77.6178245,12.9746016,77.6177484,12.97493453870107,77.61778233665098,74.399,9.5,residential
S383939,12506733286,2334256470,12.9895164,77.6077518,12.9890864,77.6077256,12.9893014,77.6077387,47.898,6.1,residential
S383940,12506733286,12506733287,12.9895164,77.6077518,12.9895196,77.6074659,12.989518,77.60760884999999,30.979,3.9,residential
S383941,12506733286,13247289758,12.9895164,77.6077518,12.9894951,77.6080962,12.98950575,77.607924,37.391,4.8,residential
